algo,depth,root_bytes,int_bytes_total,leaf_bytes,chain_bytes
rsa2048,1,1086,0,1127,1127
rsa2048,2,1086,1139,1139,2278
rsa2048,3,1086,2290,1139,3429
rsa2048,4,1086,3441,1139,4580
rsa4096,1,1781,0,1822,1822
rsa4096,2,1781,1834,1830,3664
rsa4096,3,1781,3676,1830,5506
rsa4096,4,1781,5518,1830,7348
ec256,1,550,0,591,591
ec256,2,550,607,603,1210
ec256,3,550,1222,599,1821
ec256,4,550,1833,603,2436
ec384,1,631,0,672,672
ec384,2,631,688,684,1372
ec384,3,631,1384,684,2068
ec384,4,635,2080,684,2764
