algo,depth,shapiro_stat,pvalue,normal_distribution
ec256,1,0.60602587519954,3.653585691322561e-32,False
ec256,2,0.5523270670046798,9.207645517980346e-34,False
ec256,3,0.6761193748721022,8.603096399229835e-30,False
ec256,4,0.6143271871883176,6.686307284038717e-32,False
ec384,1,0.43385468745753863,8.33111326498839e-37,False
ec384,2,0.683052569278884,1.5516048631293467e-29,False
ec384,3,0.48384911496646854,1.366212552520231e-35,False
ec384,4,0.36833935901207593,2.8462421976694203e-38,False
rsa2048,1,0.6564735309052545,1.7049824741054216e-30,False
rsa2048,2,0.6264679751913484,1.649222109195365e-31,False
rsa2048,3,0.6855069534411374,1.9165105100609887e-29,False
rsa2048,4,0.36097842129754376,1.983190482046163e-38,False
rsa4096,1,0.276866664627232,3.9980171389201475e-40,False
rsa4096,2,0.26836809549968754,2.752111772290379e-40,False
rsa4096,3,0.5078924907196082,5.675253610769781e-35,False
rsa4096,4,0.2719511207025216,3.2199691339843762e-40,False
