algo,depth,mean,median,std,p95,p99,minimum,maximum,count,cv
ec256,1,0.4389,0.4207,0.066,0.548,0.695,0.374,1.1198,650,0.1505
ec256,2,0.4995,0.4826,0.0517,0.5971,0.7527,0.459,0.8614,650,0.1036
ec256,3,0.5397,0.5293,0.051,0.6374,0.7846,0.4812,0.8903,650,0.0944
ec256,4,0.594,0.5775,0.0607,0.7086,0.8733,0.5333,1.1454,650,0.1022
ec384,1,0.9202,0.8558,0.2268,1.133,2.2461,0.7828,2.4255,650,0.2465
ec384,2,1.0664,1.0497,0.123,1.1511,1.272,1.0012,3.9773,650,0.1153
ec384,3,1.3063,1.2765,0.1172,1.4648,1.8314,1.2163,2.528,650,0.0897
ec384,4,1.5229,1.5082,0.0965,1.6202,1.7803,1.429,3.2879,650,0.0634
rsa2048,1,0.694,0.6756,0.0658,0.8311,0.9505,0.6394,1.2491,650,0.0948
rsa2048,2,0.7344,0.7127,0.0595,0.8656,0.9938,0.6822,1.1498,650,0.081
rsa2048,3,0.7507,0.7393,0.0463,0.8561,0.9356,0.6968,1.065,650,0.0616
rsa2048,4,0.7366,0.7227,0.0655,0.8275,0.916,0.6852,1.9868,650,0.0889
rsa4096,1,2.5133,2.4383,0.4783,2.9517,3.5588,2.297,9.6558,650,0.1903
rsa4096,2,2.5688,2.4936,0.3897,2.9774,3.6093,2.3718,9.6476,650,0.1517
rsa4096,3,2.5044,2.4912,0.1065,2.573,3.0441,2.3797,3.3078,650,0.0425
rsa4096,4,2.6887,2.5644,0.572,3.1461,5.7893,2.4305,10.6442,650,0.2127
